"","name","n","p","m","N","kappa","sigma","ratio","averaged","centralized"
"12254",non-linear,616,124,40,24640,0.2,1,3.80151307612807,0.00341839337245072,0.00089921915405653
"12255",non-linear,616,124,40,24640,0.2,1,4.40681815268171,0.00240416333710952,0.000545555376648909
"12256",non-linear,616,124,40,24640,0.2,1,4.59003342779748,0.00311516293112877,0.000678679791799157
"12257",non-linear,616,124,40,24640,0.2,1,3.07563835358313,0.00236312237853053,0.000768335580084531
"12258",non-linear,616,124,40,24640,0.2,1,3.14894806910334,0.00241067597700488,0.000765549613427358
"12259",non-linear,616,124,40,24640,0.2,1,4.20240068266095,0.00300381415428887,0.000714785281347056
"12260",non-linear,616,124,40,24640,0.2,1,3.22315321760346,0.00251295866850899,0.000779658458302354
"12261",non-linear,616,124,40,24640,0.2,1,4.41638839695168,0.0031468602910806,0.000712541562977717
"12262",non-linear,616,124,40,24640,0.2,1,4.10284298905861,0.00270603272453364,0.00065955064128704
"12263",non-linear,616,124,40,24640,0.2,1,4.18751824412559,0.00346081667000042,0.000826460081661825
"12264",non-linear,616,124,40,24640,0.2,1,3.66808908653781,0.00323679760789192,0.00088242066414669
"12265",non-linear,616,124,40,24640,0.2,1,4.10720171780715,0.00288196735612267,0.0007016863436796
"12266",non-linear,616,124,40,24640,0.2,1,5.37808594881403,0.00349112185588709,0.000649138353145314
"12267",non-linear,616,124,40,24640,0.2,1,3.26983201344988,0.00288859661126464,0.000883408260541489
"12268",non-linear,616,124,40,24640,0.2,1,3.67580336598069,0.00303412744963464,0.000825432469461038
"12269",non-linear,616,124,40,24640,0.2,1,5.11332372708823,0.0031514662647676,0.000616324416948698
"12270",non-linear,616,124,40,24640,0.2,1,3.01967154652301,0.00300265734634952,0.000994365546082958
"12271",non-linear,616,124,40,24640,0.2,1,4.01089687741157,0.00330995428513552,0.000825240435319194
"12272",non-linear,616,124,40,24640,0.2,1,4.38842261238978,0.00253877843643403,0.000578517308079291
"12273",non-linear,616,124,40,24640,0.2,1,4.72358688023919,0.00306749569250889,0.000649399655448608
"12274",non-linear,616,124,40,24640,0.2,1,4.32382129351514,0.00371729424605737,0.000859724302582201
"12275",non-linear,616,124,40,24640,0.2,1,3.37441643179553,0.00261454700765264,0.000774814567347704
"12276",non-linear,616,124,40,24640,0.2,1,3.56676644818959,0.00292326960386805,0.00081958537132473
"12277",non-linear,616,124,40,24640,0.2,1,4.33987388813891,0.00280243119423953,0.000645740237267888
"12278",non-linear,616,124,40,24640,0.2,1,3.50552340209834,0.00325362795323713,0.00092814326992927
"12279",non-linear,616,124,40,24640,0.2,1,3.18892473622749,0.0028353582015785,0.000889126723301955
"12280",non-linear,616,124,40,24640,0.2,1,4.07692022142026,0.00298606097102208,0.000732430562495
"12281",non-linear,616,124,40,24640,0.2,1,3.88366242926589,0.00257553251043518,0.000663171054988428
"12282",non-linear,616,124,40,24640,0.2,1,3.87192197457156,0.00284242811449156,0.000734112963318711
"12283",non-linear,616,124,40,24640,0.2,1,3.8796578096967,0.0028133385155449,0.000725151199807707
"12284",non-linear,616,124,40,24640,0.2,1,3.62577478433622,0.00307438792947396,0.000847925784788311
"12285",non-linear,616,124,40,24640,0.2,1,3.40605134501502,0.00238594672199805,0.000700502276775728
"12286",non-linear,616,124,40,24640,0.2,1,3.45243878217981,0.00275871465139048,0.000799062583131069
"12287",non-linear,616,124,40,24640,0.2,1,3.37485810548453,0.00268262327852749,0.000794884760982373
"12288",non-linear,616,124,40,24640,0.2,1,2.63451992259775,0.00243732884240203,0.000925151038523453
"12289",non-linear,616,124,40,24640,0.2,1,3.19207622248943,0.00287062387871661,0.00089929678323216
"12290",non-linear,616,124,40,24640,0.2,1,4.73776032577754,0.00275773715275042,0.00058207612101987
"12291",non-linear,616,124,40,24640,0.2,1,5.01865127474047,0.00326737271806572,0.000651045976139214
"12292",non-linear,616,124,40,24640,0.2,1,2.80550939052986,0.0024582868278244,0.000876235465873851
"12293",non-linear,616,124,40,24640,0.2,1,3.54282847072617,0.00271780968088131,0.000767129908585229
"12294",non-linear,616,124,40,24640,0.2,1,3.58321481190134,0.0025268502068217,0.000705190824292474
"12295",non-linear,616,124,40,24640,0.2,1,4.14738968521812,0.00275912001527408,0.000665266643524715
"12296",non-linear,616,124,40,24640,0.2,1,3.77895072325692,0.00324554517543943,0.000858848239397582
"12297",non-linear,616,124,40,24640,0.2,1,3.69000460775155,0.00317367228337971,0.000860072715549681
"12298",non-linear,616,124,40,24640,0.2,1,4.64767040774522,0.00316728180461238,0.000681477283615934
"12299",non-linear,616,124,40,24640,0.2,1,4.62039108897468,0.00298396051794097,0.00064582423013095
"12300",non-linear,616,124,40,24640,0.2,1,3.07909577821053,0.00258192291600691,0.00083853283625605
"12301",non-linear,616,124,100,61600,0.2,1,4.46460311528515,0.00121890593250588,0.000273015518072098
"12302",non-linear,616,124,100,61600,0.2,1,3.6202705487595,0.00119688423512979,0.000330606295581944
"12303",non-linear,616,124,100,61600,0.2,1,3.87228656555341,0.00105355541375772,0.000272075786727615
"12304",non-linear,616,124,100,61600,0.2,1,4.67906485657649,0.00123123300818301,0.000263136555256869
"12305",non-linear,616,124,100,61600,0.2,1,4.89799325302173,0.00127389656522302,0.000260085406291059
"12306",non-linear,616,124,100,61600,0.2,1,4.49763237958326,0.00142349063234171,0.000316497773095809
"12307",non-linear,616,124,100,61600,0.2,1,4.95044865831355,0.00132266192417325,0.000267180212434289
"12308",non-linear,616,124,100,61600,0.2,1,4.12034502632975,0.00131353787108376,0.000318793174525436
"12309",non-linear,616,124,100,61600,0.2,1,3.79546528450915,0.00120103004065225,0.000316438157280518
"12310",non-linear,616,124,100,61600,0.2,1,4.7309853013584,0.00127320663363875,0.000269120817871317
"12311",non-linear,616,124,100,61600,0.2,1,3.10387656269868,0.000955095450773655,0.000307710513443628
"12312",non-linear,616,124,100,61600,0.2,1,4.20212077745922,0.00105956549811152,0.000252150177071344
"12313",non-linear,616,124,100,61600,0.2,1,3.57566308849837,0.00105297185948445,0.000294482962578741
"12314",non-linear,616,124,100,61600,0.2,1,3.68634509477409,0.00107700275413544,0.000292160046454207
"12315",non-linear,616,124,100,61600,0.2,1,6.1675090569386,0.00172251038175217,0.000279287856061484
"12316",non-linear,616,124,100,61600,0.2,1,4.64396064289085,0.00113458596232872,0.000244314293245699
"12317",non-linear,616,124,100,61600,0.2,1,3.50249802089487,0.00105698220468982,0.000301779529462738
"12318",non-linear,616,124,100,61600,0.2,1,5.02246120662339,0.00122335741640993,0.000243577275379773
"12319",non-linear,616,124,100,61600,0.2,1,3.85418965242132,0.00128138716889943,0.000332466039416203
"12320",non-linear,616,124,100,61600,0.2,1,4.12094692054099,0.00127496296572218,0.000309385922775924
"12321",non-linear,616,124,100,61600,0.2,1,3.39123149058049,0.00111457072112748,0.000328662529887245
"12322",non-linear,616,124,100,61600,0.2,1,2.99959281455601,0.000968179188618121,0.000322770205315826
"12323",non-linear,616,124,100,61600,0.2,1,3.95923700267166,0.00106094224444603,0.000267966338900682
"12324",non-linear,616,124,100,61600,0.2,1,4.78044677353042,0.00147217967835748,0.00030795859636154
"12325",non-linear,616,124,100,61600,0.2,1,4.06662034786068,0.00134740040850617,0.000331331743130384
"12326",non-linear,616,124,100,61600,0.2,1,3.85853822479432,0.0011525293071199,0.000298695837639742
"12327",non-linear,616,124,100,61600,0.2,1,5.12822361665842,0.00159517416982392,0.000311057841674881
"12328",non-linear,616,124,100,61600,0.2,1,3.96425412942057,0.00108657392881073,0.000274092904576112
"12329",non-linear,616,124,100,61600,0.2,1,4.74867219200374,0.00100184706861477,0.000210974147742135
"12330",non-linear,616,124,100,61600,0.2,1,5.73611154101218,0.00142446855098771,0.000248333481802614
"12331",non-linear,616,124,100,61600,0.2,1,4.87947301400131,0.00129012236404913,0.000264397888941533
"12332",non-linear,616,124,100,61600,0.2,1,3.94906506511561,0.00116932981117866,0.00029610294889999
