"","name","n","p","m","N","sigma","ratio","averaged","centralized"
"216",ols,616,50,40,24640,10,1.04647899728521,0.140874977033398,0.134618064384338
"217",ols,616,50,40,24640,10,1.08727891755649,0.237034411793255,0.218006997069304
"218",ols,616,50,40,24640,10,1.03949836615251,0.192126900249547,0.184826553369838
"219",ols,616,50,40,24640,10,1.22876860407986,0.225750186626915,0.183720666264878
"220",ols,616,50,40,24640,10,1.10311168391332,0.244351919457778,0.221511496089799
"221",ols,616,50,100,61600,10,1.15741513183692,0.0814492429367778,0.0703716762433464
"222",ols,616,50,100,61600,10,1.06483422972412,0.083523410971723,0.0784379470909403
"223",ols,616,50,100,61600,10,0.920468943495292,0.0688004201252182,0.0747449662603094
"224",ols,616,50,100,61600,10,1.0957734264831,0.086472200712887,0.0789143071213365
"225",ols,616,50,100,61600,10,1.1488209497792,0.103039499386945,0.0896915219092659
"226",ols,616,50,100,61600,10,1.1601049842216,0.118265348833684,0.101943660653296
"227",ols,616,50,100,61600,10,0.962701812102079,0.0781913076527879,0.0812206922952139
"228",ols,616,50,100,61600,10,1.08974902092283,0.0957349363735054,0.0878504449514757
"229",ols,616,50,100,61600,10,1.15056805776975,0.0964524255788907,0.0838302653437584
"230",ols,616,50,100,61600,10,1.06412602783231,0.0914215429719381,0.0859123267177001
"231",ols,616,50,100,61600,10,1.21740198400502,0.0796346006228383,0.065413562380485
"232",ols,616,50,100,61600,10,0.885275270422527,0.0797467911254872,0.0900813495981035
"233",ols,616,50,100,61600,10,1.23293890325253,0.108405162245589,0.0879241963730831
"234",ols,616,50,100,61600,10,1.13585371986899,0.0593275661327578,0.0522316959437353
"235",ols,616,50,100,61600,10,1.23617794714527,0.0872898777226388,0.0706127122913163
"236",ols,616,50,100,61600,10,1.02580248095689,0.112212187340188,0.109389662652711
"237",ols,616,50,100,61600,10,0.928611644194292,0.0990990144622322,0.106717393736986
"238",ols,616,50,100,61600,10,1.00799721462886,0.0790139343956819,0.0783870562824662
"239",ols,616,50,100,61600,10,1.10433671917797,0.086727880681213,0.0785339101517612
"240",ols,616,50,100,61600,10,1.21518750659093,0.072044476812748,0.0592867161832996
"241",ols,808,50,10,8080,10,1.02665670315596,0.766060234333052,0.74616980727654
"242",ols,808,50,10,8080,10,1.10695083049467,0.804406596910951,0.726686836263069
"243",ols,808,50,10,8080,10,1.0309404245804,0.556244601326939,0.539550674379011
"244",ols,808,50,10,8080,10,1.01152735402515,0.594485096671534,0.587710351386853
"245",ols,808,50,10,8080,10,1.07788429853605,0.914417440896861,0.848344708368785
"246",ols,808,50,10,8080,10,0.995443705130148,0.768488345896548,0.772005832108882
"247",ols,808,50,10,8080,10,1.06857813252973,0.428270722642219,0.400785594992794
"248",ols,808,50,10,8080,10,1.02232300971473,0.562937202973452,0.550645146029272
"249",ols,808,50,10,8080,10,1.12259598720848,0.515628757982524,0.45931819092345
"250",ols,808,50,10,8080,10,1.10292801753446,0.767292938139533,0.69568723066332
"251",ols,808,50,10,8080,10,1.05486790425223,0.472169023899168,0.447609622016019
"252",ols,808,50,10,8080,10,0.962068667759797,0.566237657622109,0.588562621980621
"253",ols,808,50,10,8080,10,1.00234299472196,0.82037674022553,0.818459094886074
"254",ols,808,50,10,8080,10,1.07062849729375,0.594710020942071,0.555477481166746
"255",ols,808,50,10,8080,10,1.10351993096217,0.653828181849539,0.592493314805343
"256",ols,808,50,10,8080,10,1.06965068313047,0.535938115002357,0.501040314800588
"257",ols,808,50,10,8080,10,1.10429329499141,0.819135405749411,0.741773412430061
"258",ols,808,50,10,8080,10,1.05030128858962,0.640784370550282,0.610095767292403
"259",ols,808,50,10,8080,10,1.13546807360736,0.594323835991297,0.523417478488095
"260",ols,808,50,10,8080,10,1.02254758435414,0.32289183464035,0.315771940182417
"261",ols,808,50,20,16160,10,1.0668450280085,0.425559946751727,0.398895749222478
"262",ols,808,50,20,16160,10,1.12332673334423,0.402772004560989,0.358552852527515
"263",ols,808,50,20,16160,10,1.11006754497619,0.299606226392251,0.269899095553396
"264",ols,808,50,20,16160,10,1.09999103347868,0.320356965081573,0.291235978595623
"265",ols,808,50,20,16160,10,1.04259454120288,0.309773101665131,0.297117517331075
"266",ols,808,50,20,16160,10,1.03067642773478,0.442075017486336,0.428917364936666
"267",ols,808,50,20,16160,10,0.9680068661412,0.333890557219081,0.344925814989393
"268",ols,808,50,20,16160,10,1.03322900469295,0.345289372902028,0.334184746395731
"269",ols,808,50,20,16160,10,1.04053108490508,0.287779483552942,0.276569809136643
"270",ols,808,50,20,16160,10,1.05418154850091,0.284426899270283,0.269808269433997
"271",ols,808,50,20,16160,10,1.03522956064389,0.291728018462702,0.281800317101893
"272",ols,808,50,20,16160,10,1.07091280090057,0.373772257178735,0.349022121002211
"273",ols,808,50,20,16160,10,1.17417381677198,0.341692152581336,0.291006448705108
"274",ols,808,50,20,16160,10,1.09387495751468,0.426597289365399,0.389987252596624
"275",ols,808,50,20,16160,10,1.29938470283882,0.406325459626362,0.312706051363116
"276",ols,808,50,20,16160,10,0.936912238514784,0.298091730529601,0.318163984069781
"277",ols,808,50,20,16160,10,1.29031721368488,0.245859454712759,0.19054186994114
"278",ols,808,50,20,16160,10,0.982645479245124,0.34999011220725,0.356171294326938
"279",ols,808,50,20,16160,10,1.06300625225624,0.360158933990309,0.33881167982396
"280",ols,808,50,20,16160,10,1.16563116677077,0.242616666999552,0.20814188391315
"281",ols,808,50,40,32320,10,1.13486701284766,0.17919203369774,0.157896944460569
"282",ols,808,50,40,32320,10,1.07176306751901,0.166330127478826,0.155193001624751
"283",ols,808,50,40,32320,10,1.00333348383,0.130389507313191,0.12995630008824
"284",ols,808,50,40,32320,10,1.0439999665958,0.164753957883624,0.157810309535585
"285",ols,808,50,40,32320,10,0.934346817967477,0.165537011302647,0.177168700229264
"286",ols,808,50,40,32320,10,1.0867885969774,0.123754114342632,0.113871377273207
"287",ols,808,50,40,32320,10,1.01566749679685,0.134012953299909,0.13194569455314
"288",ols,808,50,40,32320,10,0.980273071134452,0.127901211902304,0.130475084615235
"289",ols,808,50,40,32320,10,1.06045054494171,0.120156467696136,0.113306997925811
"290",ols,808,50,40,32320,10,1.02286147447967,0.125621990460797,0.122814275046092
"291",ols,808,50,40,32320,10,0.990722218116189,0.171739642770598,0.173347927027571
"292",ols,808,50,40,32320,10,1.04031145413886,0.154832598528442,0.148832926824408
"293",ols,808,50,40,32320,10,0.955522544145323,0.124806503241884,0.130615969248029
"294",ols,808,50,40,32320,10,1.10140053952051,0.17186520609332,0.156042420469614
"295",ols,808,50,40,32320,10,1.07113622467912,0.21597899593662,0.201635413834801
"296",ols,808,50,40,32320,10,1.06112153695081,0.164317096894315,0.154852287106046
"297",ols,808,50,40,32320,10,1.05059152103305,0.150501206112645,0.143253779513333
"298",ols,808,50,40,32320,10,0.987321810188954,0.273607427285967,0.277120817612248
"299",ols,808,50,40,32320,10,1.05491674087206,0.165310434458605,0.156704721855062
"300",ols,808,50,40,32320,10,1.03809149057315,0.181827819364481,0.175155871149748
"301",ols,808,50,100,80800,10,1.03543210189327,0.0691414794081642,0.066775483666906
"302",ols,808,50,100,80800,10,1.04632791215817,0.0606103885708014,0.0579267626013967
"303",ols,808,50,100,80800,10,1.084528727249,0.0968171954592647,0.0892712134097638
"304",ols,808,50,100,80800,10,1.00336495873951,0.0628023869827174,0.0625917682650727
"305",ols,808,50,100,80800,10,1.0399402415609,0.0508457869190536,0.0488929891228526
"306",ols,808,50,100,80800,10,0.960743885346966,0.0524561018913742,0.0545994647391694
"307",ols,808,50,100,80800,10,1.06004425685206,0.06578461685457,0.0620583682514599
"308",ols,808,50,100,80800,10,1.04011886759567,0.0790932741552811,0.0760425338097292
"309",ols,808,50,100,80800,10,0.970477780382891,0.0616420904514471,0.063517260979563
"310",ols,808,50,100,80800,10,0.983136860759762,0.0754160991552516,0.0767096649157987
"311",ols,808,50,100,80800,10,0.972293723764231,0.0806057304977612,0.0829026543395718
"312",ols,808,50,100,80800,10,0.90195043531828,0.0698172328615271,0.0774069506789362
"313",ols,808,50,100,80800,10,1.21730775381075,0.0582346101352476,0.0478388558299621
"314",ols,808,50,100,80800,10,1.12213410278796,0.0867285406521025,0.0772889269086678
"315",ols,808,50,100,80800,10,1.02307745715767,0.0612870346386428,0.0599045890512645
"316",ols,808,50,100,80800,10,1.19317077995322,0.0595271409601536,0.0498898749116931
"317",ols,808,50,100,80800,10,0.853239888159709,0.0511653883822843,0.0599660061517275
"318",ols,808,50,100,80800,10,1.09125082223824,0.096812009693856,0.0887165514297498
"319",ols,808,50,100,80800,10,1.10370989077749,0.0723489354981353,0.0655506814813178
"320",ols,808,50,100,80800,10,1.24533850620952,0.0507829610148677,0.0407784395661525
"321",ols,1000,50,10,10000,10,1.06600096847497,0.503848032361479,0.472652509014404
"322",ols,1000,50,10,10000,10,0.997068625987369,0.560784384519852,0.562433086252737
"323",ols,1000,50,10,10000,10,1.11578341283463,0.866771490224131,0.776827725035016
"324",ols,1000,50,10,10000,10,0.987982653070884,0.508664721516051,0.514851875116431
"325",ols,1000,50,10,10000,10,1.15833634453996,0.597146083071903,0.515520458187007
"326",ols,1000,50,10,10000,10,1.03742660800821,0.538675731829761,0.519242255472879
"327",ols,1000,50,10,10000,10,1.09315981929772,0.542828569231664,0.496568351350852
"328",ols,1000,50,10,10000,10,1.05979287452071,0.455128462491977,0.429450389254416
